 ا 	 A
 ممندا بنداهارا سموتر ڤوتيه سدڠ برديري دهادڤنكو اڤاكه سلڤس اين توانكو سلطان محمود ڤولا اكن مونچول دسيني نديم مولا ممندڠ كيري دان كانن 	 Mamanda Bendahara Semutar Putih sedang berdiri di hadapanku Apakah selepas ini Tuanku Sultan Mahmud pula akan muncul di sini Nadim mula memandang kiri dan kanan
 بنداهارا سموتر ڤوتيه ايت حاضير دسڤرتيݢ اخير مالم مننتي نيرنام اوساي ملقساناكن عباده سمبيل سكالي-سكالا منجادي مأموم اونتوق ببراڤ ركعة 	 Bendahara Semutar Putih itu hadir di sepertiga akhir malam menanti Nirnama usai melaksanakan ibadah sambil sekali-sekala menjadi makmum untuk beberapa rakaat
 نيرنام ڤولا چوبا دكابوري سليندڠ ڤوتري ڬونوڠ ليدڠ يڠ ممنجڠ دان كليهتن باڬاي ممنوهي سلوروه ڤندڠنڽ باءيق هادڤن كيري دان كانن سرتا بلاكڠ 	 Nirnama pula cuba dikaburi selendang Puteri Gunung Ledang yang memanjang dan kelihatan bagai memenuhi seluruh pandangannya baik hadapan kiri dan kanan serta belakang
 سباڬاي سأورڠ انسان يڠ تله برناءوڠكن كباءيقن ڤق كادوق اكو مراساكن اد كڤرلوان اونتوق اكو توروت مناصيحتي ڤق كادوق اڬر تيدق برسابوڠ لاڬي 	 Sebagai seorang insan yang telah bernaungkan kebaikan Pak Kaduk aku merasakan ada keperluan untuk aku turut menasihati Pak Kaduk agar tidak bersabung lagi
 واهاي اورڠ٢ يڠ برإيمان بهاوا سسوڠڬوهڽ ارق جودي ڤموجاءن برهالا دان مڠوندي نصيب دڠن باتڠ٢ انق ڤانه اداله كوتور دان اداله ڤربواتن شيطان 	 Wahai orang-orang yang beriman Bahawa sesungguhnya arak judi pemujaan berhala dan mengundi nasib dengan batang-batang anak panah adalah kotor dan adalah perbuatan syaitan
 برسامکو كيت جاديكن سمننجوڠ سبواه كراجاءن بسر يڠ برساتو دان ماجو جاڬت سوچي ممنجڠکن تاڠن كانن عبارت مڠاجق علاءالدين اونتوق برجابت دڠنڽ 	 Bersamaku kita jadikan Semenanjung sebuah kerajaan besar yang bersatu dan maju Jagat Suci memanjangkan tangan kanan ibarat mengajak Alauddin untuk berjabat dengannya
 تله برفرمان الله عز وجل دالم القرءان ’واهاي اورڠ٢ يڠ برإيمان جاڠنله كامو دلالايكن اوليه هرتا بندا دان انق-ڤينق كامو درڤد مڠيڠاتي الله 	 Telah berfirman Allah Azzawajalla dalam al-Quran Wahai orang-orang yang beriman Janganlah kamu dilalaikan oleh harta benda dan anak-pinak kamu daripada mengingati Allah
 اڤ كات اڠكاو مڽرتاي اوسها اونتوق مڽياست ڤوترا سراڤي موڠكين كيت بنر٢ ممڤو مڠأوسهاكن سسواتو يڠ باءيق باڬي كراجاءن سراوا چندانا منچادڠكن 	 Apa kata engkau menyertai usaha untuk menyiasat Putera Serapi Mungkin kita benar-benar mampu mengusahakan sesuatu yang baik bagi Kerajaan Serawa Cendana mencadangkan
 جادي اڤ يڠ اڠكاو بوات دسيني مڠاڤ اڠكاو تيدق ككل برجواڠ دسمڤادن سهيڠݢ تيتيسن داره تراخير هاه  هرديقن ايت ممبواتكن كستوري سديكيت ترڤمڤن 	 Jadi apa yang engkau buat di sini Mengapa engkau tidak kekal berjuang di sempadan sehingga titisan darah terakhir hah   Herdikan itu membuatkan Kasturi sedikit terpempan
 كران ايت ستله ببراڤ تاهون منداڤت راوتن دان كأداءنكو سماكين ڤوليه اكو ممينتا رستو سلطان منصور اونتوق برهنتي منجادي لقسامان سموتر ڤوتيه 	 Kerana itu setelah beberapa tahun mendapat rawatan dan keadaanku semakin pulih aku meminta restu Sultan Mansur untuk berhenti menjadi laksamana Semutar Putih
 سلاما اين اكوله يڠ مماچو تانه سمننجوڠ هيڠݢ تاهڤڽ هاري اين يا سهيڠݢ اڠكاو منجادي ڬيلا كواس دان ماهو منوندوقكن سموا دباوه تلونجوق اڠكاو 	 Selama ini akulah yang memacu Tanah Semenanjung hingga tahapnya hari ini  Ya sehingga engkau menjadi gila kuasa dan mahu menundukkan semua di bawah telunjuk engkau
 ايتله جوݢاكو ڤستي مروڤاكن سبب ڬورو مڠارهكن اكو مڠمبارا دهولو اونتوق 36 ڤورنام كسلوروه سمننجوڠ باڬي ممهمي ترلبيه دهولو سواسان تانه اين 	 Itulah juga aku pasti merupakan sebab guru mengarahkan aku mengembara dahulu untuk 36 purnama ke seluruh Semenanjung bagi memahami terlebih dahulu suasana tanah ini
 سكيراڽ كراجاءن ايت برجاي دتوندوقكن مک إيمڤين جاڬت سوچي اونتوق مڠواساءي بوكن سهاج تانه سمننجوڠ بهكن سلوروه نوسنتارا اكن منجادي كڽاتاءن 	 Sekiranya kerajaan itu berjaya ditundukkan maka impian Jagat Suci untuk menguasai bukan sahaja Tanah Semenanjung bahkan seluruh Nusantara akan menjadi kenyataan
 والاوڤون بڬيتو كقواتن هايونن انكوس ترسبوت داڤت دليهت درڤد دروان اڠين يڠ مموكول توبوه نيرنام هيڠݢ تانه دبلاكڠڽ مرتق دان اد يڠ تراومڤيل 	 Walaupun begitu kekuatan hayunan ankus tersebut dapat dilihat daripada deruan angin yang memukul tubuh Nirnama hingga tanah di belakangnya meretak dan ada yang terumpil
 هابيس كناڤ سوده اڠكاو ممبري سلام اڠكاو بڠكيت دان مڠڠكت تكبير لاڬي  دوا ركعة سبلوم صلاة فجر ايت لبيه باءيق بربنديڠ دنيا دان سڬالا ايسيڽ 	 Habis kenapa sudah engkau memberi salam engkau bangkit dan mengangkat takbir lagi  Dua rakaat sebelum Solat Fajar itu lebih baik berbanding dunia dan segala isinya
 كمودين كيت اكن مڠواساءي كراجاءن سراوا برساما-سام سباڬايمان يڠ دجنجيكن اوليه توانكو جاڬت  تيݢ ايكور اولر ڬرڬسي ايت بردسير عبارت برستوجو 	 Kemudian kita akan menguasai Kerajaan Serawa bersama-sama sebagaimana yang dijanjikan oleh Tuanku Jagat  Tiga ekor ular gergasi itu berdesir ibarat bersetuju
 نيرنام تون نيرمالا نديم چندانا سرتا سكالين اهلي رومبوڠن ايستان سموتر ڤوتيه داڤت مليهت سبواه ايستان ترسرڬم اينده تيدق جاءوه دهادڤن مريک 	 Nirnama Tun Nirmala Nadim Cendana serta sekalian ahli rombongan Istana Semutar Putih dapat melihat sebuah istana tersergam indah tidak jauh di hadapan mereka
 مريک اكن صلاة مغرب برسام سبلوم اديواج مڠاجركن مريک القرءان كمودين صلاة عشاء برجماعه دان دسمبوڠ دڠن كليه دڠن تاجوق ترتنتو بوات هاري ايت 	 Mereka akan Solat Maghrib bersama sebelum Adiwaja mengajarkan mereka Al-Quran kemudian Solat Isya berjemaah dan disambung dengan kuliah dengan tajuk tertentu buat hari itu
 سياڤا سڠک كچنتيقن دان كاءيندهن سڠ ڤوتري برسام ڤوجوق رايو كڤد سڠ لقسامان بنر٢ ممبواتكن انق موريد اديواج ايت تومبڠ جوا  مات نيرنام ممبسر 	 Siapa sangka kecantikan dan keindahan sang puteri bersama pujuk rayu kepada sang laksamana benar-benar membuatkan anak murid Adiwaja itu tumbang jua  Mata Nirnama membesar
 ستياڤ ساتو درڤد مريک مروڤاكن اورڠ كڤرچاياءنكو سلاما اين  سبهاڬين تنترا ايت مڠهونوس سنجات ماسيڠ٢ دان مڠاچوكنڽ كأره نيرنام دان علاءالدين 	 Setiap satu daripada mereka merupakan orang kepercayaanku selama ini  Sebahagian tentera itu menghunus senjata masing-masing dan mengacukannya ke arah Nirnama dan Alauddin
 جک اڬام يڠ منجارقكن كيت كتاهوءيله بهاوا ڤڠعمومنكو دان سجينجڠ سبنتر تادي مروڤاكن ڤڠعمومن يڠ جوجور لاڬي نيكد  ڤوتري سنتوبوڠ بنر٢برسوڠڬوه 	 Jika agama yang menjarakkan kita ketahuilah bahawa pengumumanku dan Sejinjang sebentar tadi merupakan pengumuman yang jujur lagi nekad  Puteri Santubong benar-benar bersungguh
 والاو راماي دالم كالڠن راكن مريک تومبڠ دبالون نجوم سوريا دان تنترا ايندرا كايڠن تتڤله اد يڠ ماسيه براني منچوبا اونتوق ممبنتو علاءالدين 	 Walau ramai dalam kalangan rakan mereka tumbang tetaplah ada yang masih berani mencuba untuk membantu Alauddin
 اڤابيلا ماسوق مغرب مريک اكن دڤڠڬيل ڤولڠ اونتوق برسياڤ-سياڤ منونايكن عباده سبلوم مڠيكوت كلس مڠاجي دمسجد دان مڽمبوڠ لاتيهن سيلت سلڤس عشاء 	 Apabila masuk maghrib mereka akan dipanggil pulang untuk bersiap-siap menunaikan ibadah sebelum mengikut kelas mengaji di masjid dan menyambung latihan silat selepas isya
 نيرنام برنصيب باءيق داڤت مڽرتاءيڽ ممندڠكن سرڠن ڤوتري سجينجڠ يڠ تربارو مڽببكن ببراڤ ڤنديكر يڠ تيبا اول تله منموءي اجل كمبالي كنڬري چاچيڠ 	 Nirnama bernasib baik dapat menyertainya memandangkan serangan Puteri Sejinjang yang terbaru menyebabkan beberapa pendekar yang tiba awal telah menemui ajal kembali ke negeri cacing
 ڤمنڠ ايت اكن دكورنياكن ڤڠكت سباڬاي ڤڠليما تربارو ڤوتري سنتوبوڠ برسام سبيدڠ تانه سبواه رومه بسر برهمڤيرن ايستان سنتوبوڠ دان هرتا يڠ باڽق 	 Pemenang itu akan dikurniakan pangkat sebagai panglima terbaru Puteri Santubong bersama sebidang tanah sebuah rumah besar berhampiran Istana Santubong dan harta yang banyak
 جيک تيدق اكو اكن تمتكن ڽاوا ڤوتري سجينجڠ سكارڠ جوݢ  كڤالا توڠكت جالق بنتالا باڬاي مڠومڤولكن سواتو تناݢ انيه مولا ممبنتوق ببولا هيتم بسر 	 Jika tidak aku akan tamatkan nyawa Puteri Sejinjang sekarang juga  Kepala tongkat Jalak Bentala bagai mengumpulkan suatu tenaga aneh mula membentuk bebola hitam besar
 اداله منجادي هارڤن كامي اڤ يڠ تربنتڠ دهادڤن توان ڤوتري اين سوده چوكوڤ اونتوق ممبواتكن توان ڤوتري منريما توانكو سلطان محمود سباڬاي سوامي 	 Adalah menjadi harapan kami apa yang terbentang di hadapan tuan puteri ini sudah cukup untuk membuatkan tuan puteri menerima Tuanku Sultan Mahmud sebagai suami
 امڤون توانكو  جک تون نيرمالا تيدق ممنداي-منداي مڠاتوركن ڤربينچڠن دڠن ڤوتري ڬونوڠ ليدڠ موڠكين توانكو اكن ممڤو ممبريكن ڤرهاتين لبيه باءيق 	 Ampun tuanku   Jika Tun Nirmala tidak memandai-mandai mengaturkan perbincangan dengan Puteri Gunung Ledang mungkin tuanku akan mampu memberikan perhatian lebih baik
 اڤابيلا سلطان محمود نانر دڠن ميمڤي٢ يڠ حاضير كڤدڽ دي مڠوتوسكن لقسامان اوتام سموتر ڤوتيه اونتوق منچاري ڤوتري ڬونوڠ ليدڠ دڤونچق ڬونوڠ ايت 	 Apabila Sultan Mahmud nanar dengan mimpi-mimpi yang hadir kepadanya dia mengutuskan Laksamana Utama Semutar Putih untuk mencari Puteri Gunung Ledang di puncak gunung itu
 تنترا سموتر ڤوتيه دان تنترا ايندرا كايڠن يڠ برتمڤور برهمڤيرن تمڤت ايت برهنتي برتاروڠ عاقبة ترڤان دڠن اڤ يڠ سدڠ دڤاميركن اوليه جاڬت سوچي 	 Tentera Semutar Putih dan tentera Indera Kayangan yang bertempur berhampiran tempat itu berhenti bertarung akibat terpana dengan apa yang sedang dipamerkan oleh Jagat Suci
 موڠكين جک اكو ڤولڠ 250 ڤهلاون ايت بوليه برڬابوڠ دڠن تنترا سموتر ڤوتيه دان كراجاءن سراوا منمبه لاڬي كقواتن كيت اونتوق منومبڠكن جاڬت سوچي 	 Mungkin jika aku pulang 250 pahlawan itu boleh bergabung dengan tentera Semutar Putih dan Kerajaan Serawa menambah lagi kekuatan kita untuk menumbangkan Jagat Suci
 اڤابيلا تيبا دهوجوڠ سمڤادن ججاهن سموتر ڤوتيه چندانا منوڠڬڠ كودا ترسبوت كتيمور لاءوت مانكالا نيرنام دان نديم منروسكن ڤرجالنن كسڬنتيڠ كرا 	 Apabila tiba di hujung sempadan jajahan Semutar Putih Cendana menunggang kuda tersebut ke timur laut manakala Nirnama dan Nadim meneruskan perjalanan ke Segenting Kra
 اڤابيلا سمواڽ سوده منداڤت سجنق ريحت دان مڠاتور كمبالي باريسن سرڠن دري سڬنڤ اره برمولا كتيک كمونچق راس كمنڠن مڽليموتي تنترا ايندرا كايڠن 	 Apabila semuanya sudah mendapat sejenak rehat dan mengatur kembali barisan serangan dari segenap arah bermula ketika kemuncak rasa kemenangan menyelimuti tentera Indera Kayangan
 ممندڠكن كدوا-دواڽ دبريكن كواس ترسنديري دان مڠاول كاوسن ترسنديري ماسيڠ٢ ممڤوڽاءي كقواتن تنترا دان ممڤرڬوناكنڽ اونتوق منچاڤاي كڤنتيڠن ديري 	 Memandangkan kedua-duanya diberikan kuasa tersendiri dan mengawal kawasan tersendiri masing-masing mempunyai kekuatan tentera dan mempergunakannya untuk mencapai kepentingan diri
 كحاضيرن مريک دتمبه دڠن ببراڤ اورڠ ڤڠاول يڠ مڠيريڠي ڤوترا سراڤي ممبواتكن اورڠ راماي يڠ تروجا دڠن كحاضيرن ڤوترا ايت تيدق مڠهيمڤيت ڤرجالننڽ 	 Kehadiran mereka ditambah dengan beberapa orang pengawal yang mengiringi Putera Serapi membuatkan orang ramai yang teruja dengan kehadiran putera itu tidak menghimpit perjalanannya
 اوليه سبب نيرنام تله مڠڬوناكن سرڠن مريک اونتوق ممبواتكن كدوا-دواڽ ساليڠ منچدرا دوا ايكور اولر ڬرڬاسي ايت تيدق لاڬي مڽمبوركن عنصور ماسيڠ٢ 	 Oleh sebab Nirnama telah menggunakan serangan mereka untuk membuatkan kedua-duanya saling mencedera dua ekor ular gergasi itu tidak lagi menyemburkan unsur masing-masing
 اڤ يڠ كالين تله لاكوكن ايڠت حاجة توانكو سلطان اونتوق ڤربينچڠن اين تيدق مڠڬاڬلكن حسرتڽ اونتوق ممڤرايستيريكن ڤوتري ڬونوڠ ليدڠ توها برتمڤيق 	 Apa yang kalian telah lakukan Ingat hajat Tuanku Sultan untuk perbincangan ini tidak menggagalkan hasratnya untuk memperisterikan Puteri Gunung Ledang Tuha bertempik
 اڤاته لاڬي ايستان سموتر ڤوتيه برديري تيڠڬي دري اتس بومي مک جک دتوليه كلوار دري بالاي مڠهادڤ يڠ داڤت دليهت هاڽله لاڠيت بيرو دان اون ڬماون 	 Apatah lagi Istana Semutar Putih berdiri tinggi dari atas bumi maka jika ditoleh keluar dari balai menghadap yang dapat dilihat hanyalah langit biru dan awan gemawan
 جک دمکين ڤاتيق بردوا برنسور كران كامي ماهو ممريقسا سوسونن تنترا دان بربينچڠ بوات كالي تراخير دڠن ڤڠليما٢ كراجاءن سراوا اكن ڤرانچڠن ايسوق 	 Jika demikian patik berdua beransur kerana kami mahu memeriksa susunan tentera dan berbincang buat kali terakhir dengan panglima-panglima Kerajaan Serawa akan perancangan esok
 ڤمرينته ايندرا كايڠن ايت تله كمبالي كنڬري چاچيڠ ترساداي توبوهڽ اونتوق تاتاڤن راماي اكن باڬايمان ڤڠأخيرن انسان يڠ سريڠ دجولڠ سباڬاي توهان 	 Pemerintah Indera Kayangan itu telah kembali ke negeri cacing tersadai tubuhnya untuk tatapan ramai akan bagaimana pengakhiran insan yang sering dijulang sebagai Tuhan
 نامون بلوم سمڤت دي برتيندق نيرنام تله مڽمبوت سرڠن درڤد تيݢ هولوبالڠ يڠ لاءين دان دڠن تيكنيک يڠ سام ملوروڠكن سنجات مريک كتوبوه باڬق دورجان 	 Namun belum sempat dia bertindak Nirnama telah menyambut serangan daripada tiga hulubalang yang lain dan dengan teknik yang sama melorongkan senjata mereka ke tubuh Bagak Durjana
 ڤوست٢ ڤرجودين ڤلاچورن ڤنجوالن همبا دان عبدي ڤرداڬڠن بارڠن ميواه دان باڽق لاڬي منجادي تمڤت ڤيليهن اوتام ڤارا بڠساون مڠهابيسكن ككاياءن مريک 	 Pusat-pusat perjudian pelacuran penjualan hamba dan abdi perdagangan barangan mewah dan banyak lagi menjadi tempat pilihan utama para bangsawan menghabiskan kekayaan mereka
 يا چيق چندانا يڠ دمولياكن  اڤ كات ڤرسمبهن ايت بربنديڠ نيرنام سچارا برسأورڠن كيت ڤرسمبهكن ڤرتاروڠن انتارا نيرنام دان اكو  مات نديم تربلياق 	 Ya Cik Cendana yang dimuliakan Apa kata persembahan itu berbanding Nirnama secara berseorangan kita persembahkan pertarungan antara Nirnama dan aku Mata Nadim terbeliak
 خبرڽ راتو مرڬستوا سهيڠݢ ترڤقسا مڽرو ناݢ سري ڬوموم دري تاسيق چيني اونتوق برهادڤن دڠن نيرنام دان مريک برتاروڠ سلاما ليم هاري ليم مالم لاماڽ 	 Khabarnya Ratu Mergastua sehingga terpaksa menyeru Naga Seri Gumum dari Tasik Chini untuk berhadapan dengan Nirnama dan mereka bertarung selama lima hari lima malam lamanya
 هارومن ايت ساڠت نيڤيس همڤير سهاج دقبوركن اوليه باءو بسي درڤد داره يڠ ممباساهي لنتاي بومي ڤركامڤوڠن ڬاڤورا دان باءو هاڠيت كباكرن يڠ برسيسا 	 Haruman itu sangat nipis hampir sahaja dikuburkan oleh bau besi daripada darah yang membasahi lantai bumi Perkampungan Gapura dan bau hangit kebakaran yang bersisa
 ايتڤون اڤابيلا سڠ ڤڠڬنتي چوبا ممباوا ڤمبهارون يڠ تيدق كنا دڠن كهندقڽ جاڬت سوچي اكن ماسوق چمڤور دان منجاتوهكنڽ مڠڬوناكن جالن سياسه يڠ جاهت 	 Itupun apabila sang pengganti cuba membawa pembaharuan yang tidak kena dengan kehendaknya Jagat Suci akan masuk campur dan menjatuhkannya menggunakan jalan siasah yang jahat
 خبرڽ جاڬت سوچي ممبينا هوبوڠن باءيق دڠن ڤمرينته نڬارا جيرن دري تانه سيام راج اوڠ مها ڤريتا دريا اونتوق ممبالس دندم ترهادڤ كراجاءن٢ سمننجوڠ 	 Khabarnya Jagat Suci membina hubungan baik dengan pemerintah negara jiran dari Tanah Siam Raja Ong Maha Perita Deria untuk membalas dendam terhadap Kerajaan-Kerajaan Semenanjung
 تانه يڠ مڽنتوها تلڤق كاكي رومڤوت٢ يڠ دڤيجق اڠين يڠ مڽاڤا توبوه اءير يڠ ترسمبوڽي دالم اودارا ڤوكوق٢ دسكليليڠ اوڠڬس٢ دكجاءوهن سموا دراساءيڽ 	 Tanah yang menyentuh telapak kaki rumput-rumput yang dipijak angin yang menyapa tubuh air yang tersembunyi dalam udara pokok-pokok di sekeliling unggas-unggas di kejauhan semua dirasainya
 سڤرتي خضر   همڤير سهاج ڤرڠ مولوت ايت برتوكر منجادي ڤرتاروڠن جک بوكن كران علاءالدين سنديري منيڠڬلكن هلامن تراتق اديواج تنڤا منمتكن ڤربهاسن 	 Seperti Khidir  Hampir sahaja perang mulut itu bertukar menjadi pertarungan jika bukan kerana Alauddin sendiri meninggalkan halaman teratak Adiwaja tanpa menamatkan perbahasan
 چيق چندانا باڬايمان دڠن باقي  اورڠ٢ سكبون سرنده يڠ سڤاتوتڽ تله تيبا كماري اڤاكه مريک سدڠ براد دتڠه-تڠه ميدن ڤڤرڠن ايت نيرنام ممندڠ چندانا 	 Cik Cendana bagaimana dengan baki orang-orang Sekebun Serendah yang sepatutnya telah tiba ke mari Apakah mereka di tengah-tengah medan peperangan itu Nirnama memandang Cendana
 ستله چندانا منومبڠكن سڤولوه ماءنسي تانه يڠ دبنتوق اوليه نجوم سوريا اهلي سيحير ايت مليندوڠي ديريڽ دڠن ڤوسرن اڠين دان مڽرڠ چندانا دري جاءوه 	 Setelah Cendana menumbangkan sepuluh manusia tanah yang dibentuk oleh Nujum Surya ahli sihir itu melindungi dirinya dengan pusaran angin dan menyerang Cendana dari jauh
 ايهندا دان بوندا كيت لارڠ كيت ناءيق كڬونوڠ ڤولاي والاو لڠكهڽ سوده مننداكن ڤرستوجوان اونتوق مڠيكوري اوڠ دي تيدق سنڠ هاتي دڠن هالا توجو مريک 	 Ayahanda dan bonda kita larang kita naik ke Gunung Pulai Walau langkahnya sudah menandakan persetujuan untuk mengekori Awang dia tidak senang hati dengan hala tuju mereka
 سباڬاي سأورڠ سريكندي دان ڤڠعمل علمو ڤرسيلتن چندانا تاهو بهاوا اڤ يڠ دڤاميركن اوليه نيرنام مروڤاكن ساتو كماهيرن بوكن ساتو كسقتين اتاو سيحير 	 Sebagai seorang srikandi dan pengamal ilmu persilatan Cendana tahu bahawa apa yang dipamerkan oleh Nirnama merupakan satu kemahiran bukan satu kesaktian atau sihir
 اڤابيلا داره باڽق تومڤه كونونڽ ڤوترا سراڤي مراجوق دڠن ڤرسڠكيتاءن يڠ برلاكو دان هاڽ كلوار ايستان اونتوق مڽنتوني مشاركت دسكليليڠ ڬونوڠ سراڤي 	 Apabila darah banyak tumpah kononnya Putera Serapi merajuk dengan persengketaan yang berlaku dan hanya keluar istana untuk menyantuni masyarakat di sekeliling Gunung Serapi
 سبايق سهاج مندارت تروس دي ملنچركن ساتو سڤاقن ممبواتكن توبوه بسر برواڠ واج ملايڠ كلوار ڬلڠڬڠ دان مڽمبر ليم لاڬي ڤنديكر دان سريكندي يڠ لاءين 	 Sebaik sahaja mendarat terus dia melancarkan satu sepakan membuatkan tubuh besar Beruang Waja melayang ke luar gelanggang dan menyambar lima lagi pendekar dan srikandi yang lain
 جاڠن اڠكاو فيكير ايات٢ سوچي يڠ اڠكاو اونتايكن ايت ممڤو مڠاڤا-اڤاكن اكو لاڬي جالق بنتالا كتاوا تربهاق-بهاق سمبيل مڠاچوكن توڠكتڽ كأره نيرنام 	 Jangan engkau fikir ayat-ayat suci yang engkau untaikan itu mampu mengapa-apakan aku lagi Jalak Bentala ketawa terbahak-bahak sambil mengacukan tongkatnya ke arah Nirnama
 باڬي تيدق ممبياركن اورڠ راماي مڽمبه جاڬت سوچي اكن ككبلنڽ سلطان منصور ممرينتهكن اڬر جاڬت سوچي دڤاسوڠ دكاوسن سلاتن تانه سمننجوڠ دڬونوڠ ڤولاي 	 Bagi tidak membiarkan orang ramai menyembah Jagat Suci akan kekebalannya Sultan Mansur memerintahkan agar Jagat Suci dipasung di kawasan selatan Tanah Semenanjung di Gunung Pulai
 دبورن اءير كدڠرن تيدق ترلالو سايوڤ تتاڤي تيدق جوݢ ترلالو قوات مننداكن تيدق جاءوه دري تمڤت رومبوڠن ايت براد وجود اءير ترجون دان اليرن سوڠاي 	 Deburan air kedengaran tidak terlalu sayup tetapi tidak juga terlalu kuat menandakan tidak jauh dari tempat rombongan itu berada wujud air terjun dan aliran sungai
 توانكو تتڤ ڤاتيق ڤرتاهنكن درڤد سڬالا انچمن والاو اڤاڤون ككوراڠن توانكو ممندڠكن توانكو ماسيه مڠڠكت إسلام سباڬاي ڬاي هيدوڤ اوتام كراجاءن اين 	 Tuanku tetap patik pertahankan daripada segala ancaman walau apa pun kekurangan tuanku memandangkan tuanku masih mengangkat Islam sebagai gaya hidup utama kerajaan ini
 انداي دالم هاتيكو ماسيه اد سكلوميت راس كڤرلوان كڤد دنيا راس كإيڠينن اونتوق مڽيبوقكن ديري اكن حالڽ مک اكو تيدق اكن لايق منچاڤاي تاهڤ ترسبوت 	 Andai dalam hatiku masih ada sekelumit rasa keperluan kepada dunia rasa keinginan untuk menyibukkan diri akan halnya maka aku tidak akan layak mencapai tahap tersebut
 دي تيدق لاڬي ممباوا باتڠ كايو اونتوق مڠڠكوت بوڠكوسن كاءين ممندڠكن ڤاكاين  دان سديكيت بكلن ماكنن تله دساتوكن دالم بوڠكوسن يڠ دڬيندوڠ نيرنام 	 Dia tidak lagi membawa batang kayu untuk mengangkut bungkusan kain memandangkan pakaian dan sedikit bekalan makanan telah disatukan dalam bungkusan yang digendong Nirnama
 برسام ڤنديكر تنڤا نام ايت اكو سوده برڤاكت اونتوق مڽرڠ راج اوڠ مها ڤريتا دريا باڬي مڠورڠكن كموڠكينن تمبهن كقواتن جاڬت سوچي دان ايندرا كايڠن 	 Bersama pendekar tanpa nama itu aku sudah berpakat untuk menyerang Raja Ong Maha Perita Deria bagi mengurangkan kemungkinan tambahan kekuatan Jagat Suci dan Indera Kayangan
 درڤد 250 اورڠ 50 اورڠ مڠيكوري چندانا كسڬنتيڠ كرا دان باقي  مننتي دسمڤادن انتارا ايندرا كايڠن دان سموتر ڤوتيه برسياڤ سديا اونتوق ڤڤرڠن اخير 	 Daripada 250 orang 50 orang mengekori Cendana ke Segenting Kra dan baki menanti di sempadan antara Indera Kayangan dan Semutar Putih bersiap sedia untuk peperangan akhir
 تنترا بهارو ايت مروڤاكن للاكي٢ درڤد كالڠن رعيت جلاتا يڠ مناوركن ديري اڤابيلا دمعلومکن بهاوا علاءالدين اكن مميمڤين بالا تنترا كإيندرا كايڠن 	 Tentera baharu itu merupakan lelaki-lelaki daripada kalangan rakyat jelata yang menawarkan diri apabila dimaklumkan bahawa Alauddin akan memimpin bala tentera ke Indera Kayangan
 هيه كالين تيدق اكن ممڤو منومڤسكن اكو  جاڬت سوچي ممبتولكن كأداءن توبوه برسديا اونتوق مموسنهكن نيرنام دهادڤن برسام علاءالدين دان جبت دبلاكڠڽ 	 Heh Kalian tidak akan mampu menumpaskan aku  Jagat Suci membetulkan keadaan tubuh bersedia untuk memusnahkan Nirnama di hadapan bersama Alauddin dan Jebat di belakangnya
 دالم ماس سبنتر سوده براد دسيسي نيرنام دي تروس منچوندوڠكن توبوه اڬر لبيه مراڤتي للاكي برڤاروت ايت سمبيل دوا تاڠنڽ ملڤسكن تومبوقن برتوبي-توبي 	 Dalam masa sebentar sudah berada di sisi Nirnama dia terus mencondongkan tubuh agar lebih merapati lelaki berparut itu sambil dua tangannya melepaskan tumbukan bertubi-tubi
 ايتله جومله ڤندودوق ڤركامڤوڠن اين ترماسوقله اوڠ راجونا دامر دان بانڠ يڠ تله دأڠكوتڽ دري ڬونوڠ ڤولاي تورون كڤركامڤوڠن اين مڠڬوناكن ڤلڤه كلاڤ 	 Itulah jumlah penduduk perkampungan ini termasuklah Awang Rajuna Damar dan Banang yang telah diangkutnya dari Gunung Pulai turun ke perkampungan ini menggunakan pelepah kelapa
 هابيس اڤاكه اكو ڤرلو ممعافكن سهاج جاڬت سوچي جک دمكين بوات اڤ كيت برلاتيه دسيني بوات اڤ توق ڬورو ملاتيه ككندا ايت  اونتوق منومبڠكن جاڬت سوچي 	 Habis apakah aku perlu memaafkan sahaja Jagat Suci Jika demikian buat apa kita berlatih di sini Buat apa tok guru melatih kakanda-kakanda itu  Untuk menumbangkan Jagat Suci
 جالق بنتالا ممڤرماءينكن كالين دڠن ڤوكاون جاهت دان برنية اونتوق منجاتوهكن ڤمرينتهن كراجاءن سراوا دمي كڤنتيڠن جاڬت سوچي چندانا منيڠڬيكن سوارا 	 Jalak Bentala mempermainkan kalian dengan pukauan jahat dan berniat untuk menjatuhkan pemerintahan Kerajaan Serawa demi kepentingan Jagat Suci Cendana meninggikan suara
 اڤاكه اڠكاو ماهو بركلان هاڽ دڠن برجالن كاكي اڤاكه تمڤت يڠ اڠكاو توجو ايت تيدق جاءوه دري سيني  دڠن ڤرجالنن بياسا موڠكين مماكن ماس سميڠڬو دوا 	 Apakah engkau mahu berkelana hanya dengan berjalan kaki Apakah tempat yang engkau tuju itu tidak jauh dari sini  Dengan perjalanan biasa mungkin memakan masa seminggu dua
