Dia ternganga. 	 دي ترڠاڠا.
Tentera Indera Kayangan menyerang hendap tentera gabungan Semutar Putih dan Kerajaan Serawa! Nadim menyedari apa yang sedang terjadi. 	 تنترا ايندرا كايڠن مڽرڠ هندڤ تنترا ڬابوڠن سموتر ڤوتيه دان كراجاءن سراوا! نديم مڽدري اڤ يڠ سدڠ ترجادي.
Nampaknya apa yang dibicarakan oleh Raja Ong Maha Perita Deria benar-benar berlaku! Cendana memegang hulu parang kelewang. 	 نمڤقڽ اڤ يڠ دبيچاراكن اوليه راج اوڠ مها ڤريتا دريا بنر٢ برلاكو! چندانا ممڬڠ هولو ڤارڠ كليواڠ.
Nirnama bangkit. 	 نيرنام بڠكيت.
Cik Cendana, bagaimana dengan baki orang-orang Sekebun Serendah yang sepatutnya telah tiba ke mari? Apakah mereka di tengah-tengah medan peperangan itu? Nirnama memandang Cendana. 	 چيق چندانا، باڬايمان دڠن باقي  اورڠ٢ سكبون سرنده يڠ سڤاتوتڽ تله تيبا كماري؟ اڤاكه مريک سدڠ براد دتڠه-تڠه ميدن ڤڤرڠن ايت؟ نيرنام ممندڠ چندانا.
Cendana menggeleng. 	 چندانا مڠڬيليڠ.
Aku meminta mereka bersembunyi. 	 اكو ممينتا مريک برسمبوڽي.
Supaya memberikan kejutan kepada musuh pada masa yang sesuai. 	 سوڤاي ممبريكن كجوتن كڤد موسوه ڤد ماس يڠ سسواي.
Aku fikir sekarang adalah masanya. 	 اكو فيكير سكارڠ اداله ماسڽ.
Cendana mengangguk. 	 چندانا مڠڠڬوق.
Aku akan pergi bersama orang-orangku, menyusun pergerakan mereka dan kemudian kami akan menyertai peperangan ini tidak lama lagi. 	 اكو اكن ڤرڬي برسام اورڠ-اورڠكو، مڽوسون ڤرڬرقن مريک دان كمودين كامي اكن مڽرتاءي ڤڤرڠن اين تيدق لاما لاڬي.
Dia segera berpaling. 	 دي سڬرا برڤاليڠ.
Ayuh!  Cendana dan pahlawan-pahlawan Sekebun Serendah mula bergegas membuka langkah. 	 ايوه!  چندانا دان ڤهلاون٢ سكبون سرنده مولا برڬڬس ممبوک لڠكه.
Nanti dulu, Cik Cendana. 	 ننتي دولو، چيق چندانا.
Langkahan Cendana terhenti dan dia memalingkan wajah ke arah Nirnama. 	 لڠكهن چندانا ترهنتي دان دي مماليڠكن واجه كأره نيرنام.
Nadim sendiri turut terkejut apabila Nirnama memanggil Cendana sedemikian. 	 نديم سنديري توروت تركجوت اڤابيلا نيرنام ممڠڬيل چندانا سدميكين.
Berkenaan pertanyaanmu sebelum ini, maka jawapanku ialah ‘Ya’. 	 بركناءن ڤرتاڽاءنمو سبلوم اين، مک جواڤنكو اياله يا.
Aku mahu menikahimu. 	 اكو ماهو منيكاحيمو.
Sekiranya Allah mengurniakan kemenangan buat kita kali ini. 	 سكيراڽ الله مڠورنياكن كمنڠن بوات كيت كالي اين.
Dengan izin-Nya. 	 دڠن ايذينڽ.
Mulut Nadim koyak dengan senyuman lebar. 	 مولوت نديم كويق دڠن سڽومن ليبر.
Pantas dia menyiku Nirnama. 	 ڤانتس دي مڽيكو نيرنام.
Cendana pula terpinga-pinga, kerana langsung tidak menyangka Nirnama akan membangkitkan hal tersebut ketika ini. 	 چندانا ڤولا ترڤيڠا-ڤيڠا، كران لڠسوڠ تيدق مڽڠک نيرنام اكن ممبڠكيتكن حال ترسبوت كتيک اين.
Cik Cendana? Nadim bagai menggesa supaya Cendana memberikan maklum balas. 	 چيق چندانا؟ نديم باڬاي مڠڬسا سوڤاي چندانا ممبريكن معلوم بالس.
Ah, ya ya. 	 اه، يا يا.
Cendana menundukkan pandangan. 	 چندانا منوندوقكن ڤندڠن.
Malu. 	 مالو.
Kemudian berdehem beberapa kali. 	 كمودين بردهيم ببراڤ كالي.
Jika demikian, aku berpegang kepada kata-katamu, Nirnama. 	 جک دمکين، اكو برڤڬڠ كڤد كات-كاتمو، نيرنام.
Bibirnya kemudian tersenyum lebar. 	 بيبيرڽ كمودين ترسڽوم ليبر.
Wajahnya diangkat. 	 واجهڽ دأڠكت.
Pandangan mereka bertaut. 	 ڤندڠن مريک برتاءوت.
Perlu usaha untuk memenangi pertempuran akhir ini. 	 ڤرلو اوسها اونتوق ممنڠي ڤرتمڤورن اخير اين.
Nirnama mengangguk. 	 نيرنام مڠڠڬوق.
Turut tersenyum. 	 توروت ترسڽوم.
Dia dan Nadim menghantar Cendana pergi bersama-sama pasukannya dengan pandangan. 	 دي دان نديم مڠهنتر چندانا ڤرڬي برساما-سام ڤاسوقنڽ دڠن ڤندڠن.
Siapa sangka, dengar juga engkau akan nasihat aku ya, Nirnama!  Senyuman Nirnama melebar. 	 سياڤا سڠک، دڠر جوݢ اڠكاو اكن نصيحت اكو يا، نيرنام!  سڽومن نيرنام مليبر.
Tangannya mencapai rambut Nadim dan meramas kepala budak nakal itu. 	 تاڠنڽ منچاڤاي رمبوت نديم دان مرامس كڤالا بودق ناكل ايت.
Kemudian, mereka berpaling ke arah pertempuran yang sedang menggegak-gempita. 	 كمودين، مريک برڤاليڠ كأره ڤرتمڤورن يڠ سدڠ مڠڬڬق-ڬمڤيت.
Apa pandanganmu, Sang Kancil?  Hah, berkemungkinan besar, memandangkan tentera Indera Kayangan terpaksa berundur dan kemudian merancang serangan hendap ini, mereka akan terdesak mahu menamatkannya secepat mungkin. 	 اڤ ڤندڠنمو، سڠ كنچيل؟  هاه، بركموڠكينن بسر، ممندڠكن تنترا ايندرا كايڠن ترڤقسا براوندور دان كمودين مرنچڠ سرڠن هندڤ اين، مريک اكن تردسق ماهو منمتكنڽ سچڤت موڠكين.
Ini kerana mereka belum benar-benar cukup rehat dan kecederaan belum benar-benar dirawat. 	 اين كران مريک بلوم بنر٢ چوكوڤ ريحت دان كچدراءن بلوم بنر٢ دراوت.
Jadi?  Jagat Suci dan mungkin Nujum Surya, akan berada di mana Sultan Alauddin berada. 	 جادي؟  جاڬت سوچي دان موڠكين نجوم سوريا، اكن براد دمان سلطان علاءالدين براد.
Mereka akan menyasarkan baginda. 	 مريک اكن مڽاسركن بڬيندا.
Tumbangnya Tuanku Sultan Alauddin, maka tumbanglah gabungan tentera Semutar Putih dan Kerajaan Serawa. 	 تومبڠڽ توانكو سلطان علاءالدين، مک تومبڠله ڬابوڠن تنترا سموتر ڤوتيه دان كراجاءن سراوا.
Nirnama menajamkan pandangan. 	 نيرنام مناجمکن ڤندڠن.
Walaupun keadaan gelap, tetapi matanya telah terlatih untuk melihat dalam suasana sebegini rupa. 	 والاوڤون كأداءن ڬلڤ، تتاڤي ماتڽ تله ترلاتيه اونتوق مليهت دالم سواسان سبڬيني روڤا.
Jagat Suci dan Tuanku Sultan berada di tengah-tengah medan!  Jadi sekarang bagaimana, Nirnama?  Engkau tidak wajar turut serta di tengah-tengah medan. 	 جاڬت سوچي دان توانكو سلطان براد دتڠه-تڠه ميدن!  جادي سكارڠ باڬايمان، نيرنام؟  اڠكاو تيدق واجر توروت سرتا دتڠه-تڠه ميدن.
Tunggu sahaja di sini. 	 توڠڬو سهاج دسيني.
Nirnama melangkah pergi. 	 نيرنام ملڠكه ڤرڬي.
Aku tidak akan hanya duduk di sisi pada peperangan kemuncak sebegini. 	 اكو تيدق اكن هاڽ دودوق دسيسي ڤد ڤڤرڠن كمونچق سبڬيني.
Kata-kata itu membuatkan Nirnama berpaling. 	 كات٢ ايت ممبواتكن نيرنام برڤاليڠ.
Aku mahu berjuang di atas jalan Allah!  Lebar senyuman Nirnama mendengar bicara Nadim. 	 اكو ماهو برجواڠ دأتس جالن الله!  برسام كيت تابير نن ڬليتا تردڠر ساج ترياق ڬمڤيت د كالا مالم توهنله ڤليتا هونوسكن سلام كموسوه كيت  ريسمي ماءنسي مراسا ڬنتر تريماله اي مسكي سبنتر اولڠ دان جولڠ ذيكير نن ڤينتار كيت كن سراڠ باڬايكن لينتر  مڽماءي باءيق نالوري كيت ممادم نيستا ايتله چيتا ماري برجواڠ دمي ڤنچيڤتا كمودين ڤولڠ ك ڤڠكو ترچينتا  سودهله توهن ڬنجركن تامن سودهله توهن ڤينجمكن تمن مك كوسومڤه سڤنجڠ زمان جيوا دان راݢ دمي الرحمن   ليبر سڽومن نيرنام مندڠر بيچارا نديم.
Pada pandanganmu, apa yang wajar engkau lakukan?  Aku akan mendapatkan Mat Jenin dan Laksamana Kasturi. 	 ڤد ڤندڠنمو، اڤ يڠ واجر اڠكاو لاكوكن؟  اكو اكن منداڤتكن مت جنين دان لقسامان كستوري.
Bersama, kami akan menyusun kembali pasukan tentera Semutar Putih dan Kerajaan Serawa dengan lebih ampuh. 	 برسام، كامي اكن مڽوسون كمبالي ڤاسوقن تنترا سموتر ڤوتيه دان كراجاءن سراوا دڠن لبيه امڤوه.
Meningkatkan kemungkinan untuk memenangi pertempuran malam ini. 	 منيڠكتكن كموڠكينن اونتوق ممنڠي ڤرتمڤورن مالم اين.
Nirnama mengangguk. 	 نيرنام مڠڠڬوق.
Ayuh bersamaku. 	 ايوه برسامکو.
Kita perlu pantas. 	 كيت ڤرلو ڤانتس.
Aku yakin Sultan Alauddin tidak akan dapat bertahan lama. 	 اكو يقين سلطان علاءالدين تيدق اكن داڤت برتاهن لاما.
Ayuh!   Alauddin bersusah payah mempertahankan diri. 	 ايوه!   علاءالدين برسوسه ڤايه ممڤرتاهنكن ديري سمبيل ممجمکن مات.
Pun begitu, dia masih mampu mengelak serangan-serangan yang menuju kepadanya. 	 ڤون بڬيتو، دي ماسيه ممڤو مڠيلق سرڠن٢ يڠ منوجو كڤدڽ.
Tetapi sekali-sekala, serangan musuh tetap hinggap pada tubuh, mengoyakkan pakaian dan memberikan kecederaan. 	 تتاڤي سكالي-سكالا، سرڠن موسوه تتڤ هيڠڬڤ ڤد توبوه، مڠويقكن ڤاكاين  دان ممبريكن كچدراءن.
Lama kelamaan, pakaian kebesarannya rabak, dan tubuh Alauddin mula dipenuhi liang-liang luka. 	 لاما كلاماءن، ڤاكاين  كبسرنڽ رابق، دان توبوه علاءالدين مولا دهياسي لياڠ٢ لوک.
Gabungan Kelembai dan Jagat Suci benar-benar ampuh. 	 ڬابوڠن سڠ كلمباي دان جاڬت سوچي بنر٢ امڤوه.
Kendatipun begitu, Alauddin kekal bertahan. 	 كنداتيڤون بڬيتو، علاءالدين ككل برتاهن.
Masih gagah dan mampu bertarung. 	 ماسيه ڬاڬه دان ممڤو برتاروڠ.
Engkau bagaikan sedang menanti sesuatu. 	 اڠكاو باڬايكن سدڠ مننتي سسواتو.
Apakah engkau menanti pendekar berparut itu? Pendekar Tanpa Nama? Jagat Suci tersenyum sambil memberikan isyarat kepada Sang Kelembai untuk menghentikan serangan. 	 اڤاكه اڠكاو مننتي ڤنديكر برڤاروت ايت؟ ڤنديكر تنڤا نام؟ جاڬت سوچي ترسڽوم سمبيل ممبريكن اشارت كڤد سڠ كلمباي اونتوق مڠهنتيكن سرڠن.
Di sebalik kain di wajahnya, lelaki Majapahit itu menyeringai. 	 دسباليق كاءين دواجهڽ، للاكي مجاڤاهيت ايت مڽريڠاي.
Tentera-tentera Semutar Putih dan Kerajaan Serawa yang berada berhampiran mereka, terus menyerbu. 	 تنترا٢ سموتر ڤوتيه دان كراجاءن سراوا يڠ براد برهمڤيرن مريک، مليهت سرڠن كأتس علاءالدين ترهنتي، تروس مڠمبيل ڤلواڠ مڽربو جاڬت سوچي دان سڠ كلمباي.
Walau ramai dalam kalangan rakan mereka tumbang, tetaplah ada yang masih berani mencuba untuk membantu Alauddin. 	 والاو راماي دالم كالڠن راكن مريک تومبڠ دبالون نجوم سوريا دان تنترا ايندرا كايڠن، تتڤله اد يڠ ماسيه براني منچوبا اونتوق ممبنتو علاءالدين.
Sang Kelembai pantas mencabut kain pada wajahnya. 	 سڠ كلمباي ڤانتس منچابوت كاءين ڤد واجهڽ.
Tatkala pandangannya bertemu dengan pandangan lawan, serta-merta tentera-tentera itu bertukar menjadi batu, kaku tiada nyawa. 	 تتكالا ڤندڠنڽ برتمو دڠن  ڤندڠن لاون، تروس تنترا٢ ايت برتوكر منجادي باتو، كاكو تياد ڽاوا.
Sang Kelembai ketawa berdekah-dekah sambil tanpa belas, memecahkan batu-batu tersebut. 	 سڠ كلمباي كتاوا بردكه-دكه سمبيل تنڤا بلس، ممچهكن باتو٢ ترسبوت.
Tuanku, benarkan daku bergembira! Sang Kelembai menoleh ke arah Jagat Suci. 	 توانكو، بنركن داكو برڬمبيرا برسام مريک اين! سڠ كلمباي منوليه كأره جاڬت سوچي.
Wajah penuh berharap, bagaikan tidak sabar hendak melepaskan nafsu serakah. 	 واجه ڤنوه برهارڤ، باڬايكن تيدق صبر هندق ملڤسكن نفسو سراكه.
Jagat Suci melambai, isyarat membenarkan. 	 جاڬت سوچي ملمباي، اشارت ممبنركن.
Terus Sang Kelembai melompat dan menerpa ke arah tentera Semutar Putih dan Kerajaan Serawa. 	 تروس سڠ كلمباي ملومڤت دان منرڤا كأره تنترا سموتر ڤوتيه دان كراجاءن سراوا سمبيل كتاوا بردكه-دكه.
Dengan rakus, dia menukar mereka menjadi patung batu dan memusnahkan semuanya. 	 دڠن راكوس، دي منوكر مريک منجادي ڤاتوڠ باتو دان مموسنهكن سمواڽ.
Merasakan yang Sang Kelembai telah menjauh, Alauddin membuka matanya. 	 مراساكن يڠ سڠ كلمباي تله منجاءوه ، علاءالدين ممبوک ماتڽ.
Di mana pendekar tanpa nama itu? Mengapa dia tidak bersama-sama kalian?  Apakah sihirmu tidak dapat mengesannya? Sangkaku, engkau menganggap dirimu ada kesaktian? Alauddin tersengih. 	 دمان ڤنديكر تنڤا نام ايت؟ مڠاڤ دي تيدق برساما-سام كالين سكارڠ؟  اڤاكه سيحيرمو تيدق داڤت مڠسنڽ؟ سڠكاكو، اڠكاو مڠڠڬڤ ديريمو ڤنوه سقتي؟ علاءالدين ترسڠيه.
Jagat Suci ketawa dan kemudian kembali tersenyum lebar. 	 جاڬت سوچي كتاوا دان كمودين كمبالي ترسڽوم ليبر.
Tidak ada gunanya jika dia berada di sini sekalipun. 	 تيدق اد ڬوناڽ جک دي براد دسيني سكاليڤون.
Dia tidak akan dapat menandingiku. 	 دي تيدق اكن داڤت مننديڠيكو.
Lihatlah keadaanmu. 	 ليهتله كأداءنمو.
Engkau anak sulung kepada Sultan Mansur, anak murid sulung kepada Adiwaja. 	 اڠكاو انق سولوڠ كڤد سلطان منصور، انق موريد سولوڠ كڤد اديواج.
Jika engkau pun berkeadaan sebegini, apalah sangat pendekar tanpa nama itu, bukan?  Alauddin ketawa. 	 جک اڠكاو ڤون بركأداءن سبڬيني، اڤله ساڠت ڤنديكر تنڤا نام ايت، بوكن؟  علاءالدين كتاوا.
Nirnama tidak sama seperti aku, seperti Tuha, seperti Jebat. 	 نيرنام تيدق سام سڤرتي اكو، سڤرتي توها، سڤرتي جبت.
Dia dididik paling lama oleh guru. 	 دي ديديديق ڤاليڠ لاما اوليه ڬورو.
Jika ada insan yang mampu menumbangkanmu, maka dengan izin Allah, orang itu adalah Nirnama!  Engkau meletakkan harapan terlalu tinggi kepada pendekar berparut itu. 	 جک اد انسان يڠ ممڤو منومبڠكنمو، مک دڠن ايذين الله، اورڠ ايت اداله نيرنام!  اڠكاو ملتقكن هارڤن ترلالو تيڠڬي كڤد ڤنديكر برڤاروت ايت.
Parutnya mengingatkan aku kepada budak yang melepaskan aku satu ketika dahulu. 	 ڤراوتڽ مڠيڠتكن اكو كڤد بودق يڠ ملڤسكن اكو ساتو كتيک دهولو.
Tawa Alauddin bertambah hebat. 	 تاوا علاءالدين برتمبه هيبت.
Jagat Suci berkerut dahi. 	 جاڬت سوچي بركروت داهي.
Jelas, hairan dengan sikap yang dipamerkan oleh pemerintah Semutar Putih itu. 	 جلس، حيران دڠن سيكڤ يڠ دڤاميركن اوليه ڤمرينته سموتر ڤوتيه ايت.
Dialah orangnya. 	 دياله اورڠڽ.
Mata Jagat Suci membulat. 	 مات جاڬت سوچي ممبولت.
Kemudian, senyuman kembali menghiasi bibirnya. 	 كمودين، سڽومن كمبالي مڠهياسي بيبيرڽ.
Menarik. 	 مناريق.
Dia rupanya budak dari perkampungan Gapura yang aku biarkan hidup. 	 دي روڤاڽ بودق دري ڤركامڤوڠن ڬاڤورا يڠ اكو بياركن هيدوڤ.
Apakah kerana itu kalian terlalu meletakkan harapan kepadanya? Bagaikan menyempurnakan sebuah bulatan. 	 اڤاكه كران ايت كالين ترلالو ملتقكن هارڤن كڤدڽ؟ باڬايكن مڽمڤورناكن سبواه بولتن.
Apakah dia yang membebaskan aku, maka dia diramal akan mengakhiriku? Jika itu keajaiban yang kalian harapkan, ma. 	 اڤاكه دي يڠ ممبيبسكن اكو، مک دي درامال اكن مڠأخيريكو؟ جک ايت كعجاءيبن يڠ كالين هارڤكن، م.
Bicara Jagat Suci tidak sempat disempurnakan apabila dia melihat Alauddin menggeleng. 	 بيچارا جاڬت سوچي تيدق سمڤت دسمڤورناكن اڤابيلا دي مليهت علاءالدين مڠڬيليڠ.
Kami orang-orang yang beriman kepada Allah Azzawajalla tidak pernah percaya kepada ramalan. 	 كامي اورڠ٢ يڠ برإيمان كڤد الله عز وجل تيدق ڤرنه ڤرچاي كڤد رامالن.
Kepercayaan kami hanya kepada Allah subhanahu wa taala dan apa yang Dia susunkan. 	 كڤرچاياءن كامي هاڽ كڤد الله سبحانه وتعالى دان اڤ يڠ دي سوسونكن.
Apakah susunan-Nya yang engkau percayai adalah Nirnama itu akan menumpaskan aku?  Alauddin menggeleng lagi. 	 اڤاكه سوسوننڽ يڠ اڠكاو ڤرچاياءي اداله نيرنام ايت اكن منومڤاسكن اكو؟  علاءالدين مڠڬيليڠ لاڬي.
Susunan-Nya yang aku percayai adalah kebenaran akan pasti menumbangkan kebatilan. 	 سوسوننڽ يڠ اكو ڤرچاياءي اداله كبنرن اكن ڤستي منومبڠكن كبطيلان.
Jagat Suci tertawa. 	 جاڬت سوچي ترتاوا.
Sekarang, apakah engkau melihat susunan-Nya itu sedang berlaku? Dia mendepangkan tangan ke sekeliling. 	 سكارڠ، اڤاكه اڠكاو مليهت سوسوننڽ ايت سدڠ برلاكو؟ دي مندڤڠكن تاڠن كسكليليڠ.
Gabungan tentera Semutar Putih dan Kerajaan Serawa kucar-kacir diasak dari banyak penjuru alam secara mengejut. 	 ڬابوڠن تنترا سموتر ڤوتيه دان كراجاءن سراوا كوچر-كاچير ديسق دري باڽق ڤنجورو عالم سچارا مڠجوت.
Ramai yang menemui ajal. 	 راماي يڠ منموءي اجل.
Kalian hanyalah sekumpulan manusia yang mempercayai kalam orang gila terdahulu yang telah tiada!  Wajah Jagat Suci bertukar garang. 	 كالين هاڽله سكومڤولن ماءنسي يڠ ممڤرچاياءي كلام اورڠ ڬيلا تردهولو يڠ تله تياد!  واجه جاڬت سوچي برتوكر ڬارڠ.
Tangan terus dipanjangkan ke hadapan. 	 تاڠن تروس دڤنجڠكن كهادڤن.
Walaupun berada sekitar sedepa dari Alauddin, tubuh pemerintah Semutar Putih itu terangkat ke udara bagai dicekik oleh tangan halimunan. 	 والاوڤون براد سكيتر سدڤا دري علاءالدين، توبوه ڤمرينته سموتر ڤوتيه ايت تراڠكت كأودارا باڬاي دچكيق اوليه تاڠن هليمونن.
Kerana ayahanda engkau mempunyai kepercayaan tersebut, Tanah Semenanjung gagal meluaskan kekuasaannya sebagaimana yang dirancang oleh aku ketika menjadi Yang Dipertuan Agong dahulu!  Kerongkong Alauddin bagai dihimpit, menyebabkan dia semakin sukar bernafas. 	 كران ايهندا اڠكاو ممڤوڽاءي كڤرچاياءن ترسبوت، تانه سمننجوڠ ڬاڬل ملواسكن ككواساءنڽ سباڬايمان يڠ درانچڠ اوليه اكو كتيک منجادي يڠ دڤرتوان اڬوڠ دهولو!  كروڠكوڠ علاءالدين باڬاي دهيمڤيت، مڽببكن دي سماكين سوكر برنفس.
Tetapi pandangannya tajam memaku Jagat Suci. 	 تتاڤي  ڤندڠنڽ تاجم مماكو جاڬت سوچي.
Ayahandaku percaya. 	 ايهنداكو ڤرچاي.
kepada kerjasama, membina hubungan. 	 كڤد كرجاسام، ممبينا هوبوڠن.
aman, berbanding. 	 امان، بربنديڠ.
engkau yang merancang untuk. 	 اڠكاو يڠ مرنچڠ اونتوق.
meluaskan jajahan kuasa dan. 	 ملواسكن ججاهن كواس دان.
membuatkan semua tunduk kepadamu!  Semua memang wajar tunduk kepadaku!  Jagat Suci menghempas Alauddin ke tanah. 	 ممبواتكن سموا توندوق كڤدمو!  سموا ميمڠ واجر توندوق كڤدكو!  جاڬت سوچي مڠهيمڤاس علاءالدين كتانه.
Sultan Semutar Putih itu tidak dilepaskan, kembali terapung. 	 سلطان سموتر ڤوتيه ايت تيدق دلڤسكن، كمبالي تراڤوڠ.
Apabila semua berada di genggamanku, maka kita akan aman damai, makmur!  Di bawah kezalimanmu dan kerosakan aqidah!  Engkau masih belum lahir saat aku memajukan Tanah Semenanjung!  Tubuh Alauddin dibanting lagi. 	 اڤابيلا سموا براد دڬڠڬمنكو، مک كيت اكن امان داماي، معمور!  دباوه كظاليمنمو دان كروسقن عقيدة!  اڠكاو ماسيه بلوم لاهير ساعت اكو مماجوكن تانه سمننجوڠ!  توبوه علاءالدين دبنتيڠ لاڬي.
Kali ini, tanah melekuk dan merekah. 	 كالي اين، تانه ملكوک دان مركه.
Alauddin memuntahkan darah. 	 علاءالدين ممونتهكن داره.
Tubuhnya semakin tidak bermaya. 	 توبوهڽ سماكين تيدق برماي.
Sekali lagi dia terapung di udara. 	 كمودين سكالي لاڬي دي تراڤوڠ دأودارا دأڠكت جاڬت سوچي.
Jasamu tidak dapat dinafikan. 	 جاسمو تيدق داڤت دنافيكن.
Engkau digelar ‘Jagat Suci’ kerana engkau pemimpin yang asalnya berhati suci, adil dan saksama. 	 اڠكاو دڬلر ’جاڬت سوچي‘ كران اڠكاو ڤميمڤين يڠ اصلڽ برهاتي سوچي، عاديل دان سقسام.
Ada wawasan dan benar-benar berkhidmat. 	 اد واوسن دان بنر٢برخدمت.
Tetapi kemudian syaitan telah membisik ke hatimu akan keangkuhan, bongkak, takabbur!   Jagat Suci terpempan. 	 تتاڤي كمودين شيطان تله ممبيسيق ك هاتيمو اكن كاڠكوهن، بوڠكق، تاكبّور! جاڬت سوچي ترڤمڤن.
Sebagaimana Iblis yang berdegil tidak mahu sujud kepada Adam. 	 سباڬايمان ابليس يڠ بردڬيل تيدق ماهو سجود كڤد آدم.
Engkau berdegil tidak mahu memberikan kepercayaan kepada penggantimu. 	 اڠكاو بردڬيل تيدق ماهو ممبريكن كڤرچاياءن كڤد ڤڠڬنتيمو.
Engkau tidak mahu melepaskan kuasa, dan mencari jalan untuk terus berkuasa. 	 اڠكاو تيدق ماهو ملڤسكن كواس، دان منچاري جالن اونتوق تروس بركواس.
Engkau akhirnya terjebak dengan sihir, dan mula memaksa semua tunduk kepadamu. 	 اڠكاو اخيرڽ ترجبق دڠن سيحير، دان مولا ممقسا سموا توندوق كڤدمو.
Untuk kebaikan kalian juga!  Jagat Suci membanting tubuh Alauddin lagi. 	 اونتوق كباءيقن كالين جوݢ!  جاڬت سوچي ممبنتيڠ توبوه علاءالدين لاڬي.
Kali ini, pemerintah Semutar Putih itu dilepaskan. 	 كالي اين، ڤمرينته سموتر ڤوتيه ايت دلڤسكن.
Jagat Suci melangkah pantas ke arah Alauddin. 	 جاڬت سوچي ملڠكه ڤانتس كأره علاءالدين.
Belum sempat Alauddin bangkit, kaki Jagat Suci menginjak tubuhnya. 	 بلوم سمڤت علاءالدين بڠكيت، كاكي جاڬت سوچي مڠينجق توبوهڽ.
Tetapi kalian tidak mahu bersyukur!  Alauddin diinjak berkali-kali. 	 تتاڤي كالين تيدق ماهو برشكور!  علاءالدين دإينجق بركالي-كالي.
Setiap injakan membuatkan bumi bergegar. 	 ستياڤ ينجکن ممبواتكن بومي برڬڬر.
Lekukan tanah semakin dalam. 	 ليكوقن تانه سماكين دالم.
Tubuh Alauddin sendiri mula terbenam. 	 توبوه علاءالدين سنديري مولا تربنم.
Darah dimuntahkan semakin banyak. 	 داره دمونتهكن سماكين باڽق.
Dengan musnahnya kalian pada hari ini, akan bermulalah zaman baru. 	 دڠن موسنهڽ كالين ڤد هاري اين، اكن برمولاله زمان بارو.
Zaman kegemilangan bagi Tanah Semenanjung. 	 زمان كڬميلڠن باڬي تانه سمننجوڠ.
Kita akan meluaskan kuasa ke Segenting Kra, Kerajaan Serawa, Siam, Majapahit! Jagat Suci ketawa besar. 	 كيت اكن ملواسكن كواس كسڬنتيڠ كرا، كراجاءن سراوا، كراجاءن بروني، كراجاءن سولو، سيام، سلوروه مجاڤاهيت! جاڬت سوچي كتاوا بسر.
Selama ini, kalian yang menentang kemajuan tersebut. 	 سلاما اين، كالين يڠ مننتڠ كماجوان ترسبوت.
Tanpa kalian, aku akan mampu melebarkan kekuasaan dengan lebih pantas!  Berapa banyak lagi nyawa akan terkorban untuk itu? Terketar-ketar Alauddin bersuara. 	 تنڤا كالين، اكو اكن ممڤو مليبركن ككواساءن دڠن لبيه ڤانتس!  براڤ باڽق لاڬي ڽاوا اكن ترقربان اونتوق ايت؟ تركتر-كتر علاءالدين برسوارا.
Jelas, dia tidak lagi bermaya, tetapi tetap juga menggagahkan diri untuk tidak mengalah. 	 جلس، دي تيدق لاڬي برماي، تتاڤي تتڤ جوݢ مڠڬاڬهكن ديري اونتوق تيدق مڠاله.
Dia tidak lagi mampu untuk berdiri mahupun bergerak. 	 دي تيدق لاڬي ممڤو اونتوق برديري ماهوڤون برڬرق.
Hanya mulut yang masih mampu bertutur. 	 هاڽ مولوت يڠ ماسيه ممڤو برتوتور.
Seberapa banyak yang perlu. 	 سبراڤ باڽق يڠ ڤرلو.
Jagat Suci menyeringai. 	 جاڬت سوچي مڽريڠاي.
Engkau akan gagal. 	 اڠكاو اكن ڬاڬل.
Kerana Nirnama?  Kerana itulah nasib orang angkuh sepertimu. 	 كران نيرنام؟  كران ايتله نصيب اورڠ اڠكوه سڤرتيمو.
al-Quran berulang kali mengulang kisah orang-orang angkuh sepertimu!  Jagat Suci ketawa. 	 القرءان براولڠ كالي مڠولڠ قيصه اورڠ٢ اڠكوه سڤرتيمو!  جاڬت سوچي كتاوا.
Setelah menyelesaikan kalian, akan aku bakar seluruh al-Quran di atas muka bumi ini!  Engkau tidak akan mampu!  Tawa Jagat Suci menjadi semakin galak. 	 ستله مڽلسايكن كالين، اكن اكو بكر سلوروه القرءان دأتس موک بومي اين!  اڠكاو تيدق اكن ممڤو!  تاو جاڬت سوچي منجادي سماكين ڬالق.
Aku telah memberikan segala-galanya untuk hal itu berlaku!   Mulut pemerintah Indera Kayangan itu terkumat-kamit. 	 اكو تله ممبريكن سڬالا-ڬالاڽ اونتوق حال ايت برلاكو!  مولوت ڤمرينته ايندرا كايڠن ايت تركومت-كاميت.
Semakin lama semakin laju. 	 سماكين لاما سماكين لاجو.
Dia seperti membaca jampi serakah dengan bahasa yang tidak dapat dicerna oleh telinga Alauddin. 	 دي سڤرتي ممباچ جمڤي سراڤه دڠن بهاس يڠ تيدق داڤت دچرنا اوليه تليڠا علاءالدين.
Sekali-sekala kedengaran nama-nama mambang disebut. 	 سكالي-سكالا كدڠرن نام٢ ممبڠ دسبوت.
Bebola hitam mata pemerintah Indera Kayangan itu mula menghilang ke atas, di sebalik kulit mata itu sendiri. 	 ببولا هيتم مات ڤمرينته ايندرا كايڠن ايت مولا مڠهيلڠ كأتس دسباليق كوليت مات ايت سنديري.
Asap yang berkepul-kepul muncul dari segenap tubuhnya. 	 اسڤ يڠ بركڤول-كڤول مولا مونچول دري سڬنڤ توبوهڽ.
