A. 	 ا.
Apakah kalian berdua ini teman Nirnama? Aku dengar daripada Jebat, dia mengembara bersama seorang budak. 	 اڤاكه كالين بردوا اين تمن نيرنام؟ اكو دڠر درڤد جبت، دي مڠمبارا برسام سأورڠ بودق.
Kalian perlu diajar! Kaki lelaki itu kemudian melurus dan dengan pantas, dia melonjakkan tubuh ke udara. 	 كالين ڤرلو دأجر! كاكي للاكي ايت كمودين ملوروس دان دڠن ڤانتس، دي ملونجقكن توبوه كأودارا.
Apabila ke sana dan memerhati gerangan empunya badan, barulah aku boleh memberikan pandangan yang jujur. 	 اڤابيلا كسان دان ممرهاتي ڬراڠن امڤوڽا بادن، باروله اكو بوليه ممبريكن ڤندڠن يڠ جوجور.
Apakah engkau terlalu sibuk atau sengaja tidak mahu menghadap beta, Nirnama? Nada Sultan Mahmud berubah. 	 اڤاكه اڠكاو ترلالو سيبوق اتاو سڠاج تيدق ماهو مڠهادڤ بيت، نيرنام؟ نادا سلطان محمود براوبه.
Patik dalam usaha membina kekuatan bagi menumbangkan Jagat Suci, bagi memastikan keamanan di timur laut. 	 ڤاتيق دالم اوسها ممبينا كقواتن باڬي منومبڠكن جاڬت سوچي، باڬي ممستيكن كأمانن دتيمور لاءوت.
Tentera-tentera Semutar Putih bagaikan terpukau dengan keindahan yang terpampang di hadapan mata mereka. 	 تنترا٢ سموتر ڤوتيه باڬايكن ترڤوكاو دڠن كإيندهن يڠ ترڤمڤڠ دهادڤن مات مريک.
Nirnama, apakah sekiranya segala ini selesai, engkau berminat untuk hidup bersamaku?  Langkahannya mati. 	 نيرنام، اڤاكه سكيراڽ سڬالا اين سلساي، اڠكاو برمينت اونتوق هيدوڤ برسامکو؟  لڠكهنڽ ماتي.
Namun, kehadiran Nadim dan Cendana juga membuatkan dia merasai sesuatu yang telah lama tidak dirasainya. 	 نامون، كحاضيرن نديم دان چندانا جوݢ ممبواتكن دي مراساءي سسواتو يڠ تله لاما تيدق دراساءيڽ.
Teratak Adiwaja itu berada di atas puncak Gunung Panti, salah satu gunung tinggi yang berada di selatan. 	 تراتق اديواج ايت براد دأتس ڤونچق ڬونوڠ ڤنتي، ساله ساتو ڬونوڠ تيڠڬي يڠ براد دسلاتن.
Kakanda Tuha menjadi pak turutnya, juga telah tersasar dari landasan kebenaran dengan mengamalkan sihir. 	 ككندا توها منجادي ڤق توروتڽ، جوݢ تله ترساسر دري لندسن كبنرن دڠن مڠعملكن سيحير.
aku akan kembali dan menaiki takhta? Menjadi orang yang menumbangkan Jagat Suci? Itu semua urusan dunia. 	 اكو اكن كمبالي دان مناءيقي تختا؟ منجادي اورڠ يڠ منومبڠكن جاڬت سوچي؟ ايت سموا اوروسن دنيا.
Engkau telah menghapuskan halangan-halangan di sempadan, menyebabkan Semutar Putih boleh menyerbu masuk. 	 اڠكاو تله مڠهاڤوسكن هالڠن٢ دسمڤادن، مڽببكن سموتر ڤوتيه بوليه مڽربو ماسوق.
Secara langsung, menjadikan urusan pengamalan sihir sebagai syirik, mempersekutukan Allah azza wa jalla. 	 سچارا لڠسوڠ، منجاديكن اوروسن ڤڠامالن سيحير سباڬاي شيريک، ممڤرسكوتوكن الله عز وجل.
Setelah dibawa ke luar istana, mereka berentap dan semenjak itu Tuha tidak berbelas kasihan terhadapnya. 	 ستله دباوا كلوار ايستان، مريک برنتڤ دان سمنجق ايت  توها تيدق بربلس كاسيهن ترهادڤڽ.
Selagi Alauddin tidak pulang menaiki takhta, maka Sultan Mahmud akan memegang tampuk kekuasaan tersebut. 	 سلاڬي علاءالدين تيدق ڤولڠ مناءيقي تختا، مک سلطان محمود اكن ممڬڠ تمڤوق ككواساءن ترسبوت.
Hampir sahaja wajah sang puteri menjadi mangsa belahan tersebut andai dia tidak membatalkan serangannya. 	 همڤير سهاج واجه سڠ ڤوتري منجادي مڠسا بلهن ترسبوت انداي دي تيدق ممبطلكن سرڠنڽ.
Adinda!  Puteri Gunung Ledang menerpa pangkuannya, dengan selendang yang rabak dan mulut dicemari darah. 	 اديندا!  ڤوتري ڬونوڠ ليدڠ منرڤا ڤڠكوانڽ، دڠن سليندڠ يڠ رابق دان مولوت دچماري داره.
Nyata, hatinya masih tidak dapat melepaskan diri daripada keinginan untuk memiliki Puteri Gunung Ledang. 	 ڽات، هاتيڽ ماسيه تيدق داڤت ملڤسكن ديري درڤد كإيڠينن اونتوق مميليقي ڤوتري ڬونوڠ ليدڠ.
Di sekitar kaki Jagat Suci, lantai bumi dipenuhi anak panah yang semenjak tadi dilancarkan oleh Kasturi. 	 دسكيتر كاكي جاڬت سوچي، لنتاي بومي دڤنوهي انق ڤانه يڠ سمنجق تادي دلنچركن اوليه كستوري.
Engkau juga hanya manusia biasa, Jagat! Adiwaja mengacukan keris ke arah pemerintah Indera Kayangan itu. 	 اڠكاو جوݢ هاڽ ماءنسي بياسا، جاڬت! اديواج مڠاچوكن كريس كأره ڤمرينته ايندرا كايڠن ايت.
Namun, apabila Jagat Suci melepasi Adiwaja, Laksamana Utama Semutar Putih itu sempat menerpa ke arahnya. 	 نامون، اڤابيلا جاڬت سوچي ملڤسي اديواج، لقسامان اوتام سموتر ڤوتيه ايت سمڤت منرڤا كأرهڽ.
Terpelanting tubuh Laksamana Utama Semutar Putih itu beberapa depa, sebelum terseret beberapa depa lagi. 	 ترڤلنتيڠ توبوه لقسامان اوتام سموتر ڤوتيه ايت ببراڤ دڤا، سبلوم ترسريت ببراڤ دڤا لاڬي.
Sultan Mansur memutuskan beberapa tali yang tersembunyi di sebalik pokok berhampiran tempat dia berdiri. 	 سلطان منصور مموتوسكن ببراڤ تالي يڠ ترسمبوڽي دسباليق ڤوكوق برهمڤيرن تمڤت دي برديري.
Atau mungkin, jika mahu lebih segera, kita perlukan pihak yang boleh memberikan kita armada-armada baru. 	 اتاو موڠكين، جک ماهو لبيه سڬرا، كيت ڤرلوكن ڤيهق يڠ بوليه ممبريكن كيت ارماد٢ بارو.
Apakah tidak ada lagi penunggu laut, datuk nenek penunggu belantara? Jenin menepuk belakang tubuh Nadim. 	 اڤاكه تيدق اد لاڬي ڤنوڠڬو لاءوت، داتوق نينيق ڤنوڠڬو بلنتارا؟ جنين منڤوق بلاكڠ توبوه نديم.
Bagaimana mereka boleh berada di sini dalam masa sebentar cuma? Jagat Suci memandang keadaan sekeliling. 	 باڬايمان مريک بوليه براد دسيني دالم ماس سبنتر چوما؟ جاڬت سوچي ممندڠ كأداءن سكليليڠ.
Cik Cendana wajar kembali ke timur laut, tetapi bukan untuk 250 orang itu bergabung dengan kita di sini. 	 چيق چندانا واجر كمبالي كتيمور لاءوت، تتاڤي بوكن اونتوق 250 اورڠ ايت برڬابوڠ دڠن كيت دسيني.
Lelaki berusia itu memperlahankan pedati kerbaunya, bagi menyaingi kelajuan langkahan Nirnama dan Nadim. 	 للاكي براوسيا ايت ممڤرلاهنكن ڤدتي كرباوڽ، باڬي مڽاءيڠي كلاجوان لڠكهن نيرنام دان نديم.
Aku kelam-kabut meninggalkan Indera Kayangan, jadi aku hanya sempat menyambar gulungan kertas tebal ini. 	 اكو كلم-كابوت منيڠڬلكن ايندرا كايڠن، جادي اكو هاڽ سمڤت مڽمبر ڬولوڠن كرتس تبل اين.
Jadi, engkau tidaklah yakin sepenuhnya?  Tiada siapa dapat seratus peratus yakin dengan apa-apa, tuanku. 	 جادي، اڠكاو تيدقله يقين سڤنوهڽ؟  تياد سياڤا داڤت سراتوس ڤراتوس يقين دڠن اڤ٢، توانكو.
Tetapi ankus yang berada di antara mata keris dan tubuh Raja Segenting Kra itu jelas menjadi penghalang. 	 تتاڤي انكوس يڠ براد دأنتارا مات كريس دان توبوه راج سڬنتيڠ كرا ايت جلس منجادي ڤڠهالڠ.
Kuatnya letupan itu mengakibatkan Nirnama terseret beberapa depa di atas tanah dalam keadaan terlentang. 	 قواتڽ لتوڤن ايت مڠعاقبتكن نيرنام ترسيريت ببراڤ دڤا دأتس تانه دالم كأداءن ترلنتڠ.
Bagaimana kita boleh menyampaikan rahmat itu jika kita menyembunyikan diri di dalam gua?  Ampun, tuanku. 	 باڬايمان كيت بوليه مڽمڤايكن رحمة ايت جک كيت مڽمبوڽيكن ديري ددالم ڬوا؟  امڤون، توانكو.
Ah, engkau rupanya, pendekar berparut!  Suara Nujum Surya membuatkan Nirnama menoleh kembali ke arahnya. 	 اه، اڠكاو روڤاڽ، ڤنديكر برڤاروت!  سوارا نجوم سوريا ممبواتكن نيرنام منوليه كمبالي كأرهڽ.
Api rakus yang membakar hampir kesemua rumah di Perkampungan Gapura mulai jinak, perlahan-lahan terpadam. 	 اڤي راكوس يڠ ممباكر همڤير كسموا رومه دڤركامڤوڠن ڬاڤورا مولاءي جينق، ڤرلاهن-لاهن ترڤادم.
Tidak susah baginya mendapatkan makanan, memandangkan rumah-rumah di Perkampungan Gapura kosong semuanya. 	 تيدق سوسه باڬيڽ منداڤتكن ماكنن، ممندڠكن رومه٢ دڤركامڤوڠن ڬاڤورا كوسوڠ سمواڽ.
Dari kejauhan, di sebuah warung, keadaan itu diperhatikan oleh ramai orang yang sedang membasahkan tekak. 	 دري كجاءوهن، دسبواه واروڠ، كأداءن ايت دڤرهاتيكن اوليه راماي اورڠ يڠ سدڠ ممباسهكن تكق.
Kadangkala yang kita lihat orang-orang dewasa menghilang di Gunung Pulai ini, pasti inilah laluan mereka. 	 كادڠكالا يڠ كيت ليهت اورڠ٢ ديواس مڠهيلڠ دڬونوڠ ڤولاي اين، ڤستي اينله لالوان مريک.
Nirnama bangkit tatkala si lawan membuka tari silat, bagaikan memancing untuk Nirnama memulakan serangan. 	 نيرنام بڠكيت تتكالا سي لاون ممبوک تاري سيلت، باڬايكن ممنچيڠ اونتوق نيرنام ممولاكن سرڠن.
Nirnama, mengapa engkau tidak kelihatan teruja? Nadim separa menjerit, cuba melawan kuatnya deruan angin. 	 نيرنام، مڠاڤ اڠكاو تيدق كليهتن تروجا؟ نديم سڤرا منجريت، چوبا ملاون قواتڽ دروان اڠين.
Sudahkah kalian berdua bersedia? Tanggang memandang Nirnama dan Cendana sambil mengangkat sebelah tangan. 	 سودهكه كالين بردوا برسديا؟ تڠڬڠ ممندڠ نيرنام دان چندانا سمبيل مڠڠكت سبله تاڠن.
Mata Cendana terbeliak, tidak menjangka Nirnama mampu menyambut cucuk sanggul yang bergerak sepantas itu. 	 مات چندانا تربلياق، تيدق منجڠک نيرنام ممڤو مڽمبوت چوچوق سڠڬول يڠ برڬرق سڤانتس ايت.
Pandangan redup kemudian dilayarkan ke arah Cendana, yang jelas telah bersedia untuk serangan seterusnya. 	 ڤندڠن ردوڤ كمودين دلايركن كأره چندانا، يڠ جلس تله برسديا اونتوق سرڠن ستروسڽ.
Belum ditambah lagi perhentian-perhentian kerana menunaikan ibadah yang dikatakan Nirnama sebagai fardhu. 	 بلوم دتمبه لاڬي ڤرهنتين٢ كران منونايكن عباده يڠ دكاتاكن نيرنام سباڬاي فرض.
Aku perlu menjadi orang yang lebih baik lagi untuk mereka!  Suara-suara itu kedengaran di belakang Nadim. 	 اكو ڤرلو منجادي اورڠ يڠ لبيه باءيق لاڬي اونتوق مريک!  سوارا٢ ايت كدڠرن دبلاكڠ نديم.
Mengapa tak biar pelitup kepalamu itu terbuka? Tak penatkah asyik membetulkannya? Suara Nadim kedengaran. 	 مڠاڤ تق بيار ڤليتوڤ كڤالامو ايت تربوک؟ تق ڤنتكه اشيق ممبتولكنڽ؟ سوارا نديم كدڠرن.
Haruman semerbak bagaikan satu jambangan bunga yang terbaik, memenuhi setiap pelusuk Kampung Sungai Atas. 	 هارومن سمربق باڬايكن ساتو جمبڠن بوڠا يڠ ترباءيق، ممنوهي ستياڤ ڤلوسوق كامڤوڠ سوڠاي اتس.
Saksikanlah Raja dan Tuhan kalian!  Orang ramai di situ mengangkat wajah, sebelum perlahan-lahan bangkit. 	 سقسيكنله راج دان توهن كالين!  اورڠ راماي دسيتو مڠڠكت واجه، سبلوم ڤرلاهن-لاهن بڠكيت.
Mengikut Cendana, untuk memasuki sayembara tersebut, seseorang perlu membayar yuran yang tinggi nilainya. 	 مڠيكوت چندانا، اونتوق مماسوقي سايمبارا ترسبوت، سسأورڠ ڤرلو ممباير يورن يڠ تيڠڬي نيلايڽ.
Lelaki tua yang hadir setelah beberapa ketika hilangnya lelaki rupawan tadi, sedang berdiri menghadapnya. 	 للاكي توا يڠ حاضير ستله ببراڤ كتيک هيلڠڽ للاكي روڤاون تادي، سدڠ برديري مڠهادڤڽ.
Tidak susah baginya mendapatkan makanan, memandangkan rumah-rumah di Perkampungan Gapura kosong semuanya. 	 تيدق سوسه باڬيڽ منداڤتكن ماكنن، ممندڠكن رومه٢ دڤركامڤوڠن ڬاڤورا كوسوڠ سمواڽ.
Lelaki tua yang buta itu bagaikan menebar pandangan, dengan wajahnya tertala ke satu arah demi satu arah. 	 للاكي توا يڠ بوتا ايت باڬايكن منيبر ڤندڠن، دڠن واجهڽ ترتالا كساتو اره دمي ساتو اره.
Jelas, mereka merupakan benteng utama bagi mengelak sebarang kejadian tidak diingini menimpa sang puteri. 	 جلس، مريک مروڤاكن بينتيڠ اوتام باڬي مڠيلق سبارڠ كجادين تيدق دإيڠيني منيمڤا سڠ ڤوتري.
Jika Allah itu benar ada, mengapa dia meletakkan kita dalam keadaan sebegini?  Hidup adalah ujian, Jenin. 	 جک الله ايت بنر اد، مڠاڤ دي ملتقكن كيت دالم كأداءن سبڬيني؟  هيدوڤ اداله اوجين، جنين.
Kulitnya yang halus dan cerah, mula berluruhan dan berganti dengan kulit yang gelap, berbau dan berkedut. 	 كوليتڽ يڠ هالوس دان چره، مولا برلوروهن دان برڬنتي دڠن كوليت يڠ ڬلڤ، برباءو دان بركدوت.
Akulah Jalak Bentala, tukang sihir Tuanku Jagat Suci! Dia ketawa sekuat-kuatnya sambil menghayun tongkat. 	 اكوله جالق بنتالا، توكڠ سيحير توانكو جاڬت سوچي! دي كتاوا سقوات-قواتڽ سمبيل مڠهايون توڠكت.
Bahkan dia perlu membawa lebih bekalan berbanding orang yang sekadar mahu menempuh satu perjalanan biasa. 	 بهكن دي ڤرلو ممباوا لبيه بكلن بربنديڠ اورڠ يڠ سقدر ماهو منمڤوه ساتو ڤرجالنن بياسا.
Aku hanya memerlukan engkau berbuat satu kesilapan!   Jalak Bentala maju untuk lebih menghampiri Nirnama. 	 اكو هاڽ ممرلوكن اڠكاو بربوات ساتو كسيلاڤن!  جالق بنتالا ماجو اونتوق لبيه مڠهمڤيري نيرنام.
Engkau telah berkorban banyak dan menjadi sebab Allah memberikan kita keamanan selama tiga dekad lamanya. 	 اڠكاو تله برقربان باڽق دان منجادي سبب الله ممبريكن كيت كأمانن سلاما تيݢ ديكد لاماڽ.
Sebagaimana engkau tahu, anakanda sulungku tidak mahu naik takhta demi mengejar apa yang dia mahu kejari. 	 سباڬايمان اڠكاو تاهو، انقندا سولوڠكو تيدق ماهو ناءيق تختا دمي مڠجر اڤ يڠ دي ماهو كجري.
Cendana mengibas tangannya ke wajah Nadim, membuatkan budak itu berkelip-kelip dan spontan cuba mengelak. 	 چندانا مڠيبس تاڠنڽ كواجه نديم، ممبواتكن بودق ايت بركليڤ-كليڤ دان سڤونتن چوبا مڠيلق.
Kala semua enak diuliti mimpi, hangat didakapi gebar, Nirnama tetap istiqomah dengan kebiasaan hariannya. 	 كالا سموا اينق داوليتي ميمڤي، هاڠت دداكڤي ڬبر، نيرنام تتڤ استقامه دڠن كبياساءن هارينڽ.
Suasana di dalam istana Puteri Gunung Ledang ternyata tidak kalah dengan keadaan persekitaran di luarnya. 	 سواسان ددالم ايستان ڤوتري ڬونوڠ ليدڠ ترڽات تيدق كاله دڠن كأداءن ڤرسكيترن دلوارڽ.
Hah, sungguh aku tidak menyangka Tuanku Sultan Mahmud sanggup pergi sejauh ini demi Puteri Gunung Ledang. 	 هاه، سوڠڬوه اكو تيدق مڽڠک توانكو سلطان محمود سڠڬوڤ ڤرڬي سجاءوه اين دمي ڤوتري ڬونوڠ ليدڠ.
Pun begitu, pada ketika itu, memandangkan segalanya masih baru aku kuasai, tidaklah aku mahir sepenuhnya. 	 ڤون بڬيتو، ڤد كتيک ايت، ممندڠكن سڬالاڽ ماسيه بارو اكو كواساءي، تيدكله اكو ماهير سڤنوهڽ.
Tetapi benar-benar bersihlah niatmu untuk membebaskan tanah ini daripada cengkaman dan anasir Jagat Suci. 	 تتاڤي بنر٢ برسيهله نيتمو اونتوق ممبيبسكن تانه اين درڤد چڠكمن دان عناصير جاڬت سوچي.
Nirnama tidak cemas, terus melompat balik kuang, membuatkan daya saukan itu tidak mengapa-apakan dirinya. 	 نيرنام تيدق چمس، تروس ملومڤت باليق كواڠ، ممبواتكن داي ساءوكن ايت تيدق مڠاڤا-اڤاكن ديريڽ.
Sudah tidak bertenaga untuk bangkit? Jika orang lain menerima dua tumbukan tadi, tubuhnya telah berkecai. 	 سوده تيدق برتناݢ اونتوق بڠكيت؟ جک اورڠ لاءين منريما دوا تومبوقن تادي، توبوهڽ تله بركچاي.
Sebahagian mereka tidak mudah terkesan dengan ayat-ayat al-Quran, hasil daripada pengalaman dan kekuatan. 	 سبهاڬين مريک تيدق موده تركسن دڠن ايات٢ القرءان، حاصيل درڤد ڤڠالمن دان كقواتن.
Hah, jin-jin yang bersama denganku takkan terkesan dengan itu semua, Nirnama!  Sekali lagi Tuha berdesup. 	 هاه، جين٢ يڠ برسام دڠنكو تقكن تركسن دڠن ايت سموا، نيرنام!  سكالي لاڬي  توها بردسوڤ.
Laksamana Utama Semutar Putih itu terbelalak sambil menghamburkan darah, tambah membasahi seluar Nirnama. 	 لقسامان اوتام سموتر ڤوتيه ايت تربلالق سمبيل مڠهمبوركن داره، تمبه ممباسهي سلوار نيرنام.
Sementara Puteri Gunung Ledang cuba memerangkap pendekar berparut itu dengan selendangnya yang memanjang. 	 سمنتارا ڤوتري ڬونوڠ ليدڠ چوبا ممرڠكڤ ڤنديكر برڤاروت ايت دڠن سليندڠڽ يڠ ممنجڠ.
Sekonyong-konyong, Tuha muncul di atas Alauddin, manakala Puteri Gunung Ledang muncul di hadapan Nirnama. 	 سكوڽوڠ-كوڽوڠ، توها مونچول دأتس علاءالدين، مانكالا ڤوتري ڬونوڠ ليدڠ مونچول دهادڤن نيرنام.
Rambut Puteri Santubong bergerak-gerak bagai dielus, sehingga dia terpaksa membetulkan keadaan rambutnya. 	 رمبوت ڤوتري سنتوبوڠ برڬرق-ڬرق باڬاي دايلوس، سهيڠݢ دي ترڤقسا ممبتولكن كأداءن رمبوتڽ.
Bahkan, berkemungkinan besar, Jagat Suci akan meminta Raja Ong Maha Perita Deria sendiri datang membantu. 	 بهكن، بركموڠكينن بسر، جاڬت سوچي اكن ممينتا راج اوڠ مها ڤريتا دريا سنديري داتڠ ممبنتو.
Apa yang kalian bualkan saat berpisah tadi? Mengapa aku tak dibenarkan turut serta? Nadim berwajah nakal. 	 اڤ يڠ كالين بوالكن ساعت برڤيسه تادي؟ مڠاڤ اكو تق دبنركن توروت سرتا؟ نديم برواجه ناكل.
Setelah beberapa ketika melalui keadaan yang merimaskan itu, laluannya terasa semakin kurang menyesakkan. 	 ستله ببراڤ كتيک ملالوءي كأداءن يڠ مريمسكن ايت، لالوانڽ تراس سماكين كورڠ مڽساقكن.
Setelah beberapa hari mengembara bersama Pak Kaduk, mereka tahu bahawa Pak Kaduk bukanlah seorang Muslim. 	 ستله ببراڤ هاري مڠمبارا برسام ڤق كادوق، مريک تاهو بهاوا ڤق كادوق بوكنله سأورڠ مسلم.
Suara serak-serak Nirnama kedengaran, membuatkan Cendana menoleh ke belakang, melihat ke arah pemuda itu. 	 سوارا سراق٢ نيرنام كدڠرن، ممبواتكن چندانا منوليه كبلاكڠ، مليهت كأره ڤمودا ايت.
Maafkan kami, mamanda bendahara Jenin, berbual di hadapanmu perkara yang tidak ada kena mengena denganmu. 	 معافكن كامي، ممندا بنداهارا جنين، بربوال دهادڤنمو ڤركارا يڠ تيدق اد كنا مڠنا دڠنمو.
Hanya cahaya obor di tangan beberapa orang daripada kalangan mereka yang menjadi penerang kepada suasana. 	 هاڽ چهاي اوبور دتاڠن ببراڤ اورڠ درڤد كالڠن مريک يڠ منجادي ڤنراڠ كڤد سواسان.
Bersama, kami akan menyusun kembali pasukan tentera Semutar Putih dan Kerajaan Serawa dengan lebih ampuh. 	 برسام، كامي اكن مڽوسون كمبالي ڤاسوقن تنترا سموتر ڤوتيه دان كراجاءن سراوا دڠن لبيه امڤوه.
Mereka berdua sudah berada di neraka kerana berterusan memastikan aku terpenjara buat sekian lama dahulu. 	 مريک بردوا سوده براد دنراک كران برتروسن ممستيكن اكو ترڤنجارا بوات سكيان لاما دهولو.
Nirnama tenang, tidak menunjukkan tanda mahu mengelak, sementara Alauddin sudah melompat tinggi ke udara. 	 نيرنام تنڠ، تيدق منونجوقكن تندا ماهو مڠيلق، سمنتارا علاءالدين سوده ملومڤت تيڠڬي كأودارا.
Dendam yang pada satu ketika dahulu, berulang-ulang dia berjanji kepada dirinya sendiri, akan dilunaskan. 	 دندم يڠ ڤد ساتو كتيک دهولو، براولڠ-اولڠ دي برجنجي كڤد ديريڽ سنديري، اكن دلونسكن.
Tetapi dia masih mampu mendarat dengan baik walaupun kedua-dua kakinya terseret separuh depa ke belakang. 	 تتاڤي دي ماسيه ممڤو مندارت دڠن باءيق والاوڤون كدوا-دوا كاكيڽ ترسيريت سڤاروه دڤا كبلاكڠ.
Tuanku Jagat!  Aku sudah dimuliakan oleh Islam!  Cendana membenamkan kelewang itu ke jantung Nujum Surya. 	 توانكو جاڬت!  اكو سوده دمولياكن اوليه إسلام!  چندانا ممبنمکن كليواڠ ايت كجنتوڠ نجوم سوريا.
Engkau pula mempunyai pertahanan yang ampuh, dengan sihir yang tidak membenarkan aku untuk menghampirimu. 	 اڠكاو ڤولا ممڤوڽاءي ڤرتاهنن يڠ امڤوه، دڠن سيحير يڠ تيدق ممبنركن اكو اونتوق مڠهمڤيريمو.
Tentera gabungan Semutar Putih dan Kerajaan Serawa disangka telah berkurangan akibat dibunuh oleh mereka. 	 تنترا ڬابوڠن سموتر ڤوتيه دان كراجاءن سراوا دسڠکا تله بركورڠن عاقبة دبونوه اوليه مريک.
Aku terima nikahnya Cik Siti Cendana Wan Kembang binti Muhammad, dengan mas kahwinnya seutas rantai emas. 	 اكو تريما نكاحڽ چيق سيتي چندانا وان كمبڠ بنت محمد، دڠن مس كهوينڽ سأوتس رنتاي امس.
Lebih baik hidup dalam kehinaan hari ini untuk harapan hari esok, berbanding terus mati dalam kesia-siaan. 	 لبيه باءيق هيدوڤ دالم كهيناءن هاري اين اونتوق هارڤن هاري ايسوق، بربنديڠ تروس ماتي دالم كسيا-سياءن.
Ada yang menyatakan bahawa tempat ini letaknya Maul Hayat, air yang membolehkan seseorang itu kekal abadi. 	 اد يڠ مڽاتاكن بهاوا تمڤت اين لتقڽ ماءول حياة، اءير يڠ ممبوليهكن سساورڠ ايت ككل ابادي.
Ini pertama kali Nadim melihat lautan terbentang sebegini luas, menaiki bahtera sebegini mewah lagi besar. 	 اين ڤرتام كالي نديم مليهت لاوتن تربنتڠ سبڬيني لواس، مناءيقي بهترا سبڬيني ميواه لاڬي بسر.
Apabila orang yang pernah bertemu dengannya bertanya akan namanya yang sebenar, dia tidak pernah menjawab. 	 اڤابيلا اورڠ يڠ ڤرنه برتمو دڠنڽ برتاڽ اكن نامڽ يڠ سبنر، دي تيدق ڤرنه منجواب.
Segera dia berguling, menjarakkan diri sebelum berhenti separuh gulingan dan menolak tubuhnya ke belakang. 	 سڬرا دي برڬوليڠ، منجارقكن ديري سبلوم برهنتي سڤاروه ڬوليڠن دان منولق توبوهڽ كبلاكڠ.
Kalaulah tumbukan itu menyentuh tubuhnya, sudah pasti dia tidak akan mampu untuk berdiri seperti hari ini. 	 كالاوله تومبوقن ايت مڽنتوه توبوهڽ، سوده ڤستي دي تيدق اكن ممڤو اونتوق برديري سڤرتي هاري اين.
Orang Kaya Besar Tanggang sudah kena sumpahan!  Mencicit mereka meninggalkan bahtera megah lagi mewah itu. 	 اورڠ كاي بسر تڠڬڠ سوده كنا سومڤهن!  منچيچيت مريک منيڠڬلكن بهترا مڬه لاڬي ميواه ايت.
Cik Cendana kena nyatakan soalan yang mana, kerana banyak soalan dan pertanyaan kita yang Nirnama abaikan. 	 چيق چندانا كنا ڽاتكن سوءالن يڠ مان، كران باڽق سوءالن دان ڤرتاڽاءن كيت يڠ نيرنام ابايكن.
Aku cintakan tanah airku ini!  Tetapi engkau juga tiada bukti yang cukup kuat untuk menuduh Putera Serapi. 	 اكو چينتاكن تانه اءيركو اين!  تتاڤي اڠكاو جوݢ تياد بوقتي يڠ چوكوڤ قوات اونتوق منودوه ڤوترا سراڤي.
Ketika itulah Puteri Santubong dan Puteri Sejinjang bersua dengan Putera Serapi, dan jatuh hati kepadanya. 	 كتيک ايتله ڤوتري سنتوبوڠ دان ڤوتري سجينجڠ برسوا دڠن ڤوترا سراڤي، دان جاتوه هاتي كڤدڽ.
Lelaki berparut itu akan meminta dia menghentikan bicara pada masa-masa tertentu untuk  menunaikan ibadah. 	 للاكي برڤاروت ايت اكن ممينتا دي مڠهنتيكن بيچارا ڤد ماس٢ ترتنتو اونتوق منونايكن عباده.
Dia melihat Nirnama sudah terlebih dahulu bangun, dan bertafakur di atas kain yang menghadap ke satu arah. 	 دي مليهت نيرنام سوده ترلبيه دهولو باڠون، دان برتفكر دأتس كاءين يڠ مڠهادڤ كساتو اره.
Walhal, dia bertarung tanpa henti dan kebanyakan lawan yang tumbang adalah hasil jurus yang dilepaskannya. 	 ولحال، دي برتاروڠ تنڤا هنتي دان كبانڽقن لاون يڠ تومبڠ اداله حاصيل جوروس يڠ دلڤسكنڽ.
Selain lima orang itu, semua telah bergelimpangan sama ada di sekeliling Nirnama, atau di luar gelanggang. 	 سلاءين ليم اورڠ ايت، سموا تله برڬليمڤڠن سام اد دسكليليڠ نيرنام، اتاو دلوار ڬلڠڬڠ.
Apa engkau fikir aku akan berdamai dengannya saat genting ini?  Aku sudah mengenali haruman Putera Serapi. 	 اڤ اڠكاو فيكير اكو اكن برداماي دڠنڽ ساعت ڬنتيڠ اين؟  اكو سوده مڠنالي هارومن ڤوترا سراڤي.
Hakikatnya mereka mempergunakan engkau, dan demikian orang-orang engkau yang lain, termasuklah Jagat Suci. 	 حقيقتڽ مريک ممڤرڬوناكن اڠكاو، دان دمكين اورڠ٢ اڠكاو يڠ لاءين، ترماسوقله جاڬت سوچي.
Dia bersama-sama dua kakanda seperguruan mengekori sekitar dua depa, sebagai tanda sopan dan penghormatan. 	 دي برساما-سام دوا ككندا سڤرڬوروان مڠيكوري سكيتر دوا دڤا، سباڬاي تندا سوڤن دان ڤڠحرمتن.
Aku nantikan engkau di istana!   Dia hanya mampu tersenyum dan membalas dengan mengacung penumbuknya juga. 	 اكو ننتيكن اڠكاو دإيستان!  دي هاڽ ممڤو ترسڽوم دان ممبالس دڠن مڠاچوڠ ڤنومبوقڽ جوݢ.
Sepanjang seminggu Sultan Mansur menetap bersama mereka, hubungan antara dia dan sultan itu sudah terbina. 	 سڤنجڠ سميڠڬو سلطان منصور منتڤ برسام مريک، هوبوڠن انتارا دي دان سلطان ايت سوده تربينا.
Tetapi tangan kiri Jebat lebih tangkas menepis, serentak dengan kaki kanan melancarkan sepakan ke hadapan. 	 تتاڤي تاڠن كيري جبت لبيه تڠكس منڤيس، سرنتق دڠن كاكي كانن ملنچركن سيڤقن كهادڤن.
